language,metric,count,mean,p0,p25,p50,p70,p75,p90,p95,p99,p100
bn,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
bn,translated_answer_characters,250,86.424,5.0,15.0,15.0,70.90000000000003,83.0,153.1,237.55,403.1399999999999,4087.0
bn,translated_answer_tokens,250,27.36,2.0,4.0,4.0,21.30000000000001,28.0,51.19999999999999,84.10000000000002,142.0999999999999,1020.0
bn,translated_answer_utf8_bytes,250,227.76,15.0,41.0,41.0,192.4000000000001,224.5,414.4,645.0500000000002,1062.08,10227.0
bn,translated_answer_whitespace_words,250,16.024,1.0,3.0,3.0,10.0,12.0,22.19999999999999,33.55000000000001,67.52999999999997,1018.0
bn,translated_passage_characters,2496,320.72996794871796,54.0,241.0,292.0,335.0,351.0,497.0,573.0,731.0,3718.0
bn,translated_passage_tokens,2496,106.5488782051282,15.0,78.0,95.0,113.0,119.0,161.0,192.0,250.10000000000036,1809.0
bn,translated_passage_utf8_bytes,2496,851.8874198717949,149.0,643.0,776.0,888.0,933.0,1321.0,1519.75,1919.1000000000004,10036.0
bn,translated_passage_whitespace_words,2496,49.247996794871796,7.0,36.0,45.0,52.0,55.0,76.0,90.0,116.0,753.0
bn,translated_query_characters,250,34.64,9.0,25.0,33.5,40.0,42.0,53.0,60.0,72.01999999999998,92.0
bn,translated_query_tokens,250,12.136,3.0,9.0,11.0,14.0,15.0,18.099999999999994,20.55000000000001,24.50999999999999,29.0
bn,translated_query_utf8_bytes,250,94.672,23.0,68.0,90.5,111.0,115.0,145.0,163.55,199.07999999999993,256.0
bn,translated_query_whitespace_words,250,5.336,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.509999999999991,17.0
gu,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
gu,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
gu,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
gu,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
gu,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
gu,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
gu,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
gu,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
gu,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
gu,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
gu,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
gu,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
gu,passage_translation_character_ratio,2496,0.9712104902996973,0.33900928792569657,0.899019319407669,0.9616735828039122,1.0104720015595303,1.0256823821339949,1.0844619077815019,1.1282449434623347,1.2365097402597407,10.090361445783133
gu,passage_translation_word_ratio,2496,0.9599542515104624,0.3275862068965517,0.8709677419354839,0.9461872586872586,1.0,1.0185185185185186,1.0869565217391304,1.1363636363636365,1.2558184976118123,17.103448275862068
gu,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
gu,translated_answer_characters,250,79.42,2.0,13.0,13.0,57.200000000000045,82.0,153.49999999999997,234.40000000000032,693.5999999999949,2624.0
gu,translated_answer_tokens,250,26.188,1.0,4.0,4.0,23.0,27.75,60.19999999999999,86.65000000000003,185.22999999999934,840.0
gu,translated_answer_utf8_bytes,250,205.284,6.0,33.0,33.0,151.20000000000005,215.75,406.69999999999993,613.4000000000005,1810.419999999986,6644.0
gu,translated_answer_whitespace_words,250,14.312,1.0,3.0,3.0,9.300000000000011,13.0,25.0,40.10000000000002,115.2699999999993,525.0
gu,translated_passage_characters,2496,311.50721153846155,56.0,238.0,285.0,322.0,339.0,475.0,546.0,684.0500000000002,3350.0
gu,translated_passage_tokens,2496,108.6650641025641,19.0,82.0,98.0,114.0,121.0,163.0,190.0,244.15000000000055,1365.0
gu,translated_passage_utf8_bytes,2496,802.3597756410256,130.0,613.0,735.0,832.0,874.0,1230.5,1411.75,1774.1500000000005,6826.0
gu,translated_passage_whitespace_words,2496,51.916666666666664,8.0,39.0,47.0,55.0,58.0,80.0,93.25,119.0,496.0
gu,translated_query_characters,250,34.228,8.0,24.25,34.0,41.0,42.0,50.0,58.0,67.52999999999997,80.0
gu,translated_query_tokens,250,12.672,3.0,9.0,12.0,15.0,16.0,19.0,20.55000000000001,24.50999999999999,27.0
gu,translated_query_utf8_bytes,250,92.484,22.0,66.25,92.0,109.0,114.75,135.1,157.10000000000002,182.52999999999997,212.0
gu,translated_query_whitespace_words,250,5.66,2.0,4.0,6.0,7.0,7.0,9.0,9.550000000000011,12.0,14.0
hi,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
hi,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
hi,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
hi,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
hi,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
hi,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
hi,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
hi,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
hi,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
hi,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
hi,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
hi,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
hi,passage_translation_character_ratio,2496,1.0043059578045415,0.19708029197080293,0.9360834113230279,1.0031695800683142,1.0568459123858842,1.0708435708435708,1.1369201339072212,1.1800728092225015,1.26932063263839,13.416526138279933
hi,passage_translation_word_ratio,2496,1.1386101174202352,0.25,1.0434782608695652,1.1346153846153846,1.2045454545454546,1.2244897959183674,1.3076923076923077,1.36715319039008,1.4898936170212784,14.353535353535353
hi,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
hi,translated_answer_characters,250,116.268,2.0,20.0,20.0,59.30000000000001,82.75,160.29999999999998,232.55,399.6099999999999,7515.0
hi,translated_answer_tokens,250,33.696,1.0,5.0,5.0,19.30000000000001,25.75,44.0,71.65000000000003,119.0,2047.0
hi,translated_answer_utf8_bytes,250,298.468,2.0,54.0,54.0,146.20000000000005,210.25,402.99999999999994,606.95,1016.53,18525.0
hi,translated_answer_whitespace_words,250,24.208,1.0,4.0,4.0,11.0,16.0,31.099999999999994,45.650000000000034,81.03999999999996,2011.0
hi,translated_passage_characters,2496,323.69591346153845,53.0,246.0,295.0,339.0,356.25,496.0,570.0,688.1000000000004,7956.0
hi,translated_passage_tokens,2496,96.26602564102564,12.0,71.0,87.0,103.0,109.0,146.0,169.0,213.0,2449.0
hi,translated_passage_utf8_bytes,2496,822.3846153846154,130.0,622.0,750.0,863.5,908.0,1262.5,1454.25,1724.0,19674.0
hi,translated_passage_whitespace_words,2496,62.28886217948718,6.0,46.0,57.0,66.0,69.0,95.5,111.0,136.05000000000018,1427.0
hi,translated_query_characters,250,67.38,9.0,27.0,35.0,42.0,44.0,55.0,61.55000000000001,74.0,7783.0
hi,translated_query_tokens,250,19.92,4.0,8.0,10.0,13.0,14.0,16.0,19.0,23.529999999999973,2252.0
hi,translated_query_utf8_bytes,250,176.196,25.0,70.0,93.0,111.30000000000001,116.0,143.0,164.55,195.01999999999998,20077.0
hi,translated_query_whitespace_words,250,13.496,2.0,5.0,6.0,8.0,9.0,11.0,12.0,14.509999999999991,1637.0
kn,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
kn,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
kn,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
kn,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
kn,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
kn,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
kn,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
kn,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
kn,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
kn,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
kn,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
kn,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
kn,passage_translation_character_ratio,2496,1.0785122739476045,0.34760705289672544,0.9829345531315975,1.0565314158534496,1.11750208855472,1.136473112629182,1.2141539272535582,1.2608160921961906,1.402834623893806,9.80722891566265
kn,passage_translation_word_ratio,2496,0.7543518007263368,0.03636363636363636,0.6666666666666666,0.7346938775510204,0.792059748427673,0.8095238095238095,0.88,0.9354838709677419,1.0667816091954028,7.7272727272727275
kn,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
kn,translated_answer_characters,250,82.648,4.0,23.0,23.0,66.30000000000001,88.75,163.49999999999991,238.20000000000005,465.7299999999998,2378.0
kn,translated_answer_tokens,250,25.392,1.0,5.0,5.0,23.0,27.0,50.0,86.10000000000002,146.03999999999996,791.0
kn,translated_answer_utf8_bytes,250,225.756,7.0,63.0,63.0,182.20000000000005,235.75,450.6999999999997,648.6000000000001,1240.53,6604.0
kn,translated_answer_whitespace_words,250,9.984,1.0,3.0,3.0,8.0,9.75,19.0,28.0,63.669999999999845,294.0
kn,translated_passage_characters,2496,347.1482371794872,63.0,260.0,312.0,359.5,381.0,538.0,608.25,775.100000000004,2540.0
kn,translated_passage_tokens,2496,108.84735576923077,14.0,80.0,97.0,115.0,123.0,161.0,190.25,246.15000000000055,1844.0
kn,translated_passage_utf8_bytes,2496,934.2375801282051,171.0,698.0,841.0,970.0,1027.0,1440.5,1635.0,2078.300000000001,6590.0
kn,translated_passage_whitespace_words,2496,40.98076923076923,2.0,30.0,37.0,43.0,46.0,62.0,73.0,94.05000000000018,360.0
kn,translated_query_characters,250,39.008,10.0,29.25,37.0,45.30000000000001,48.0,58.0,63.55000000000001,75.56999999999994,87.0
kn,translated_query_tokens,250,13.016,4.0,10.0,13.0,15.0,16.0,19.0,20.0,25.50999999999999,29.0
kn,translated_query_utf8_bytes,250,108.6,28.0,82.25,104.5,128.3,133.75,156.0,177.20000000000005,206.66999999999985,243.0
kn,translated_query_whitespace_words,250,4.692,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,13.0
ml,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
ml,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
ml,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
ml,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
ml,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
ml,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
ml,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
ml,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
ml,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
ml,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
ml,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
ml,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
ml,passage_translation_character_ratio,2496,1.1456311976981992,0.24096385542168675,1.0196681032746606,1.1080889709843762,1.1796090916758035,1.2,1.2842888424405294,1.3421481092436973,1.5558120868744119,21.310606060606062
ml,passage_translation_word_ratio,2496,0.7331194818959934,0.018518518518518517,0.6326530612244898,0.7,0.7619047619047619,0.7796610169491526,0.856203007518797,0.9202631578947369,1.1116161616161635,18.357142857142858
ml,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ml,translated_answer_characters,250,79.56,3.0,12.0,12.0,68.50000000000006,87.25,162.49999999999997,254.5000000000001,476.64999999999986,2603.0
ml,translated_answer_tokens,250,23.704,1.0,3.0,3.0,21.0,26.0,49.29999999999998,82.20000000000005,148.51,708.0
ml,translated_answer_utf8_bytes,250,215.824,9.0,32.0,32.0,185.0,242.25,450.1,697.4000000000005,1278.57,7419.0
ml,translated_answer_whitespace_words,250,9.188,1.0,2.0,2.0,7.0,9.0,17.099999999999994,27.55000000000001,59.11999999999989,359.0
ml,translated_passage_characters,2496,367.4971955128205,58.0,271.0,327.0,378.0,397.25,564.5,647.0,911.0000000000036,3412.0
ml,translated_passage_tokens,2496,107.67067307692308,15.0,77.0,95.0,113.0,119.25,162.0,188.0,259.0500000000002,1366.0
ml,translated_passage_utf8_bytes,2496,995.083733974359,138.0,732.0,886.0,1024.0,1078.0,1531.5,1763.25,2447.150000000008,10236.0
ml,translated_passage_whitespace_words,2496,39.45673076923077,1.0,28.0,35.0,41.0,44.0,61.0,70.25,97.10000000000036,392.0
ml,translated_query_characters,250,39.668,11.0,28.25,38.0,46.0,50.0,58.0,65.55000000000001,76.0,103.0
ml,translated_query_tokens,250,12.596,3.0,9.0,12.0,15.0,16.0,19.0,21.0,24.0,29.0
ml,translated_query_utf8_bytes,250,110.932,31.0,80.0,106.0,129.0,139.75,162.1,185.75000000000006,215.51,281.0
ml,translated_query_whitespace_words,250,4.44,1.0,3.0,4.0,5.0,5.0,7.0,7.0,8.0,14.0
mr,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
mr,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
mr,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
mr,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
mr,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
mr,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
mr,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
mr,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
mr,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
mr,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
mr,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
mr,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
mr,passage_translation_character_ratio,2496,1.018547295139663,0.047619047619047616,0.9179137919372294,0.9881887933038829,1.0416666666666667,1.0581613149847096,1.1239830989468373,1.1656820876219216,1.2875730949235515,23.70486111111111
mr,passage_translation_word_ratio,2496,0.874165023186682,0.045871559633027525,0.7777777777777778,0.85,0.9024390243902439,0.9183673469387755,0.9782608695652174,1.0208333333333333,1.1404761904761909,24.654545454545456
mr,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mr,translated_answer_characters,250,79.836,2.0,11.0,11.0,63.0,83.75,146.49999999999997,214.0,364.1299999999994,6143.0
mr,translated_answer_tokens,250,22.404,1.0,3.0,4.5,20.30000000000001,24.0,43.0,70.55000000000001,122.03999999999996,1367.0
mr,translated_answer_utf8_bytes,250,214.988,5.0,29.0,29.0,168.20000000000005,215.25,395.0999999999999,566.3000000000001,964.6399999999985,17065.0
mr,translated_answer_whitespace_words,250,11.176,1.0,2.0,2.0,9.0,11.0,21.0,33.0,57.62999999999988,683.0
mr,translated_passage_characters,2496,325.8044871794872,29.0,244.0,290.0,334.0,350.25,491.5,557.25,684.0500000000002,7385.0
mr,translated_passage_tokens,2496,97.68429487179488,8.0,71.0,86.0,102.0,107.0,143.0,164.0,213.0,3064.0
mr,translated_passage_utf8_bytes,2496,857.4947916666666,29.0,641.0,770.0,883.5,925.25,1284.0,1464.0,1789.7500000000027,19337.0
mr,translated_passage_whitespace_words,2496,47.41746794871795,4.0,35.0,42.0,49.0,52.0,71.0,83.0,105.05000000000018,1356.0
mr,translated_query_characters,250,34.788,9.0,25.25,33.0,40.0,42.0,53.0,60.0,69.50999999999999,77.0
mr,translated_query_tokens,250,10.88,3.0,8.0,11.0,13.0,13.0,17.0,18.0,21.0,24.0
mr,translated_query_utf8_bytes,250,95.26,25.0,70.0,92.0,110.0,115.75,143.29999999999998,162.55,194.56999999999994,205.0
mr,translated_query_whitespace_words,250,5.188,1.0,4.0,5.0,6.0,6.0,8.0,9.0,10.509999999999991,13.0
ne,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
ne,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
ne,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
ne,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
ne,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
ne,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
ne,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
ne,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
ne,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
ne,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
ne,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
ne,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
ne,passage_translation_character_ratio,2496,1.0264457748206395,0.35625,0.9022062736689471,0.9741462382122108,1.0265408805031446,1.0441464968152867,1.116395173232849,1.157937181663837,1.2805689284524784,38.1055900621118
ne,passage_translation_word_ratio,2496,0.9144540975196828,0.31007751937984496,0.7884615384615384,0.8606123049749779,0.9117647058823529,0.9272727272727272,1.0,1.032258064516129,1.1428571428571428,50.958333333333336
ne,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ne,translated_answer_characters,250,114.912,2.0,15.0,15.0,57.30000000000001,79.75,143.0,211.5000000000001,391.2899999999993,8189.0
ne,translated_answer_tokens,250,31.14,1.0,4.0,4.0,18.0,21.75,39.0,60.55000000000001,120.05999999999995,2458.0
ne,translated_answer_utf8_bytes,250,311.208,5.0,41.0,41.0,157.3,213.5,391.0,562.7000000000004,1047.5099999999982,22519.0
